ticket_id,outgoing_messages
42.0,"[{'id': 43027732305, 'message': 'nor his of. Saw spent from many like. More her he for of aisle coffined, in despair his womans mood open, sore', 'created': Timestamp('2018-10-23 11:47:06'), 'updated': Timestamp('2018-10-23 11:47:06'), 'user_id': 43012947004}]"
43.0,"[{'id': 43027900115, 'message': 'to, days mammon soul soul sick it of by. Seemed these sore and shun and feere had evil once, delphis his ever', 'created': Timestamp('2018-10-24 05:53:41'), 'updated': Timestamp('2018-10-24 05:53:41'), 'user_id': 43012947004}]"
44.0,[]
45.0,"[{'id': 43027900714, 'message': 'Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.', 'created': Timestamp('2018-10-24 05:58:19'), 'updated': Timestamp('2018-10-24 05:58:19'), 'user_id': 43012947004}, {'id': 43027905477, 'message': 'Officia consequat sunt aute laboris do voluptate consequat ut enim cillum excepteur.', 'created': Timestamp('2018-10-24 06:30:12'), 'updated': Timestamp('2018-10-24 06:30:12'), 'user_id': 43012947004}]"
46.0,"[{'id': 43027901375, 'message': 'are dares pile in. To vast glorious would grace clay steel the. Charms there to deem talethis cheer companie are,', 'created': Timestamp('2018-10-24 06:03:17'), 'updated': Timestamp('2018-10-24 06:03:17'), 'user_id': 43012947004}]"
48.0,[]
49.0,[]
50.0,[]
52.0,[]
53.0,"[{'id': 43028495506, 'message': 'to, days mammon soul soul sick it of by. Seemed these sore and shun and feere had evil once, delphis his ever', 'created': Timestamp('2018-10-26 06:16:21'), 'updated': Timestamp('2018-10-26 06:16:21'), 'user_id': 43012947004}]"
54.0,[]
56.0,[]
59.0,"[{'id': 43028629205, 'message': 'to been to fellow one. To into oer bidding wins. His riot and or oer he ne her, or this present ee wins in by', 'created': Timestamp('2018-10-26 13:56:43'), 'updated': Timestamp('2018-10-26 13:56:43'), 'user_id': 43012945549}]"
60.0,"[{'id': 43028629641, 'message': 'love rhyme fathers. Lay resolved flatterers time few vexed. Now if in een eremites love. Sore say not where to', 'created': Timestamp('2018-10-26 13:58:21'), 'updated': Timestamp('2018-10-26 13:58:21'), 'user_id': 43012945549}]"
61.0,"[{'id': 43028628142, 'message': 'paphian. Mother shun condemned birth ofttimes than and. Earthly thence said his from each shades he for, passed', 'created': Timestamp('2018-10-26 13:53:03'), 'updated': Timestamp('2018-10-26 13:53:03'), 'user_id': 43012945549}]"
62.0,"[{'id': 43028627839, 'message': 'harold sadness the felt high him left save. Eremites the shell go but. Known than long in blast shameless there', 'created': Timestamp('2018-10-26 13:51:30'), 'updated': Timestamp('2018-10-26 13:51:30'), 'user_id': 43012945549}]"
63.0,"[{'id': 43029046418, 'message': 'deemed his gild. Sing open knew or none night but dwelt, who muse than longed times soils nor from, call flee', 'created': Timestamp('2018-10-29 06:33:53'), 'updated': Timestamp('2018-10-29 06:33:53'), 'user_id': 43012947004}]"
64.0,[]
65.0,[]
66.0,"[{'id': 43029052720, 'message': 'nor his of. Saw spent from many like. More her he for of aisle coffined, in despair his womans mood open, sore', 'created': Timestamp('2018-10-29 07:13:58'), 'updated': Timestamp('2018-10-29 07:13:58'), 'user_id': 43012947004}]"
67.0,[]
68.0,[]
69.0,"[{'id': 43032076035, 'message': 'Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.', 'created': Timestamp('2018-11-09 10:38:04'), 'updated': Timestamp('2018-11-09 10:38:04'), 'user_id': 43012947004}]"
70.0,"[{'id': 43030033678, 'message': 'He of his ever scene time power, minstrels dear hill she loved for knew. He pomp were reverie bidding', 'created': Timestamp('2018-11-01 06:07:41'), 'updated': Timestamp('2018-11-01 06:07:41'), 'user_id': 43012947004}, {'id': 43030070159, 'message': 'was artless, been nor come bower the it, ear the steel known strength or monks these. Me peace been would loved', 'created': Timestamp('2018-11-01 09:29:30'), 'updated': Timestamp('2018-11-01 09:29:30'), 'user_id': 43012947004}]"
71.0,"[{'id': 43030271255, 'message': 'hellas dares. Though nor in not there in, bidding thee each nor sight in childe and. Feeble riot would wins een so', 'created': Timestamp('2018-11-02 07:35:03'), 'updated': Timestamp('2018-11-02 07:35:03'), 'user_id': 43012947004}]"
72.0,[]
73.0,[]
74.0,[]
75.0,[]
76.0,"[{'id': 43030890624, 'message': 'Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.', 'created': Timestamp('2018-11-05 05:54:35'), 'updated': Timestamp('2018-11-05 05:54:35'), 'user_id': 43012947004}]"
77.0,[]
78.0,[]
79.0,[]
80.0,[]
81.0,"[{'id': 43032040882, 'message': 'spoiled the to this few. Noontide present to of hellas. Holy ever they virtues youth than crime or weary spoiled.', 'created': Timestamp('2018-11-09 07:39:44'), 'updated': Timestamp('2018-11-09 07:39:44'), 'user_id': 43012947004}]"
82.0,[]
83.0,[]
84.0,[]
85.0,[]
87.0,[]
88.0,[]
89.0,"[{'id': 43032833155, 'message': 'Ex velit ea eu pariatur. Non commodo cillum irure consectetur ea occaecat culpa est proident.', 'created': Timestamp('2018-11-13 07:36:58'), 'updated': Timestamp('2018-11-13 07:36:58'), 'user_id': 43012947004}]"
90.0,[]
91.0,"[{'id': 43033149663, 'message': 'And had in was fabled seraphs nor it beyond go whom, will peace memory the but the heartless the.', 'created': Timestamp('2018-11-14 09:06:15'), 'updated': Timestamp('2018-11-14 09:06:15'), 'user_id': 43012947004}]"
92.0,[]
93.0,[]
94.0,[]
95.0,"[{'id': 43034955734, 'message': 'proident enim eiusmod mollit sit laborum commodo consequat cupidatat nostrud esse.', 'created': Timestamp('2018-11-22 05:17:07'), 'updated': Timestamp('2018-11-22 05:17:07'), 'user_id': 43012947004}]"
97.0,[]
98.0,[]
99.0,[]
100.0,[]
101.0,"[{'id': 43034954946, 'message': 'flatterers breast another, suffice and dear but nor and a lay the, oer but woe native vast lands degree', 'created': Timestamp('2018-11-22 05:13:44'), 'updated': Timestamp('2018-11-22 05:13:44'), 'user_id': 43012947004}]"
102.0,"[{'id': 43034159688, 'message': 'nor his of. Saw spent from many like. More her he for of aisle coffined, in despair his womans mood open, sore', 'created': Timestamp('2018-11-19 06:25:22'), 'updated': Timestamp('2018-11-19 06:25:22'), 'user_id': 43012947004}]"
103.0,[]
104.0,[]
105.0,[]
106.0,[]
107.0,"[{'id': 43034431963, 'message': 'And had in was fabled seraphs nor it beyond go whom, will peace memory the but the heartless the.', 'created': Timestamp('2018-11-20 08:04:37'), 'updated': Timestamp('2018-11-20 08:04:37'), 'user_id': 43012947004}]"
108.0,"[{'id': 43035016512, 'message': 'He of his ever scene time power, minstrels dear hill she loved for knew. He pomp were reverie bidding', 'created': Timestamp('2018-11-22 08:39:27'), 'updated': Timestamp('2018-11-22 08:39:27'), 'user_id': 43012947004}, {'id': 43036597665, 'message': 'was artless, been nor come bower the it, ear the steel known strength or monks these. Me peace been would loved', 'created': Timestamp('2018-11-26 05:20:43'), 'updated': Timestamp('2018-11-26 05:20:43'), 'user_id': 43012947004}]"
109.0,"[{'id': 43034960650, 'message': 'him mother who one uses, could said know and shun moths drugged, say lurked he the day. Fellow night might hope a', 'created': Timestamp('2018-11-22 05:37:51'), 'updated': Timestamp('2018-11-22 05:37:51'), 'user_id': 43012947004}, {'id': 43036613640, 'message': 'day or her bade each thou, known wins pile departed that. Scape sought he fabled known and. The the muse old congealed', 'created': Timestamp('2018-11-26 06:44:42'), 'updated': Timestamp('2018-11-26 06:44:42'), 'user_id': 43012947004}]"
110.0,[]
111.0,[]
112.0,"[{'id': 43035023229, 'message': 'Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.', 'created': Timestamp('2018-11-22 08:55:45'), 'updated': Timestamp('2018-11-22 08:55:45'), 'user_id': 43012947004}, {'id': 43035113041, 'message': 'He of his ever scene time power, minstrels dear hill she loved for knew. He pomp were reverie bidding', 'created': Timestamp('2018-11-22 12:00:08'), 'updated': Timestamp('2018-11-22 12:00:08'), 'user_id': 43012947004}]"
113.0,[]
114.0,"[{'id': 43035024427, 'message': 'paphian. Mother shun condemned birth ofttimes than and. Earthly thence said his from each shades he for, passed', 'created': Timestamp('2018-11-22 08:58:25'), 'updated': Timestamp('2018-11-22 08:58:25'), 'user_id': 43012947004}, {'id': 43035653401, 'message': 'are dares pile in. To vast glorious would grace clay steel the. Charms there to deem talethis cheer companie are,', 'created': Timestamp('2018-11-23 08:42:29'), 'updated': Timestamp('2018-11-23 08:42:29'), 'user_id': 43012947004}]"
115.0,"[{'id': 43035014600, 'message': 'paphian. Mother shun condemned birth ofttimes than and. Earthly thence said his from each shades he for, passed', 'created': Timestamp('2018-11-22 08:34:48'), 'updated': Timestamp('2018-11-22 08:34:48'), 'user_id': 43012947004}]"
116.0,"[{'id': 43035073293, 'message': 'could he now. Upon massy noontide childe he. Old venerable or to sun can the say, which sighed each and for ne', 'created': Timestamp('2018-11-22 10:51:47'), 'updated': Timestamp('2018-11-22 10:51:47'), 'user_id': 43012945549}, {'id': 43035622072, 'message': 'are dares pile in. To vast glorious would grace clay steel the. Charms there to deem talethis cheer companie are,', 'created': Timestamp('2018-11-23 07:25:05'), 'updated': Timestamp('2018-11-23 07:25:05'), 'user_id': 43012945549}]"
369.0,"[{'id': 43035564139, 'message': 'heralds deemed superstition, might had sore all in care, misery old mothernot and where fly if, of and favour holy', 'created': Timestamp('2018-11-23 05:31:58'), 'updated': Timestamp('2018-11-23 05:31:58'), 'user_id': 43012946092}]"
926.0,[]
927.0,[]
928.0,[]
929.0,[]
930.0,"[{'id': 43056812389, 'message': 'harold sadness the felt high him left save. Eremites the shell go but. Known than long in blast shameless there', 'created': Timestamp('2019-02-13 06:00:54'), 'updated': Timestamp('2019-02-13 06:00:54'), 'user_id': 43012947044}]"
931.0,[]
932.0,[]
933.0,[]
934.0,[]
935.0,[]
936.0,[]
937.0,[]
938.0,[]
939.0,[]
940.0,[]
941.0,[]
942.0,[]
943.0,[]
944.0,"[{'id': 43058078714, 'message': 'light is thy. Revel none and times neer yet to from nor nor. Light that and disporting unto. Save flash deigned her', 'created': Timestamp('2019-02-18 09:03:25'), 'updated': Timestamp('2019-02-18 09:03:25'), 'user_id': 43012947044}]"
945.0,[]
946.0,[]
947.0,[]
948.0,[]
949.0,[]
950.0,[]
951.0,[]
953.0,"[{'id': 43049784663, 'message': 'And had in was fabled seraphs nor it beyond go whom, will peace memory the but the heartless the.', 'created': Timestamp('2019-01-17 14:49:05'), 'updated': Timestamp('2019-01-17 14:49:05'), 'user_id': 43012947044}]"
955.0,"[{'id': 43118342844, 'message': 'heralds deemed superstition, might had sore all in care, misery old mothernot and where fly if, of and favour holy', 'created': Timestamp('2019-08-15 08:04:15'), 'updated': Timestamp('2019-08-15 08:04:15'), 'user_id': 43012947044}]"
957.0,"[{'id': 43049061082, 'message': 'spoiled the to this few. Noontide present to of hellas. Holy ever they virtues youth than crime or weary spoiled.', 'created': Timestamp('2019-01-15 10:31:50'), 'updated': Timestamp('2019-01-15 10:31:50'), 'user_id': 43012947044}]"
958.0,[]
959.0,[]
960.0,[]
961.0,[]
962.0,"[{'id': 43056413560, 'message': 'At longed but fame her longdeserted name, a girls scorching his basked deadly and start. Parting the breast of', 'created': Timestamp('2019-02-12 10:44:47'), 'updated': Timestamp('2019-02-12 10:44:47'), 'user_id': 43012947044}]"
963.0,[]
964.0,[]
965.0,[]
969.0,[]
970.0,[]
971.0,"[{'id': 43047950379, 'message': 'deemed his gild. Sing open knew or none night but dwelt, who muse than longed times soils nor from, call flee', 'created': Timestamp('2019-01-10 12:18:45'), 'updated': Timestamp('2019-01-10 12:18:45'), 'user_id': 43012947044}]"
972.0,"[{'id': 43048278901, 'message': 'to, days mammon soul soul sick it of by. Seemed these sore and shun and feere had evil once, delphis his ever', 'created': Timestamp('2019-01-11 10:23:28'), 'updated': Timestamp('2019-01-11 10:23:28'), 'user_id': 43012947044}]"
973.0,"[{'id': 43054205503, 'message': 'At longed but fame her longdeserted name, a girls scorching his basked deadly and start. Parting the breast of', 'created': Timestamp('2019-02-04 10:19:03'), 'updated': Timestamp('2019-02-04 10:19:03'), 'user_id': 43012947044}]"
974.0,"[{'id': 43048274432, 'message': 'to been to fellow one. To into oer bidding wins. His riot and or oer he ne her, or this present ee wins in by', 'created': Timestamp('2019-01-11 10:06:26'), 'updated': Timestamp('2019-01-11 10:06:26'), 'user_id': 43012947044}]"
975.0,[]
976.0,[]
984.0,"[{'id': 43048715499, 'message': 'to, days mammon soul soul sick it of by. Seemed these sore and shun and feere had evil once, delphis his ever', 'created': Timestamp('2019-01-14 07:26:58'), 'updated': Timestamp('2019-01-14 07:26:58'), 'user_id': 43012947044}]"
996.0,[]
997.0,"[{'id': 43048739602, 'message': 'At longed but fame her longdeserted name, a girls scorching his basked deadly and start. Parting the breast of', 'created': Timestamp('2019-01-14 09:00:00'), 'updated': Timestamp('2019-01-14 09:00:00'), 'user_id': 43012947044}]"
1022.0,"[{'id': 43054180317, 'message': 'love rhyme fathers. Lay resolved flatterers time few vexed. Now if in een eremites love. Sore say not where to', 'created': Timestamp('2019-02-04 08:55:20'), 'updated': Timestamp('2019-02-04 08:55:20'), 'user_id': 43012947044}]"
1023.0,"[{'id': 43230774657, 'message': 'are dares pile in. To vast glorious would grace clay steel the. Charms there to deem talethis cheer companie are,', 'created': Timestamp('2020-06-05 13:29:45'), 'updated': Timestamp('2020-06-05 13:29:45'), 'user_id': 43067338910}]"
1024.0,[]
1029.0,[]
1030.0,"[{'id': 43047946929, 'message': 'could he now. Upon massy noontide childe he. Old venerable or to sun can the say, which sighed each and for ne', 'created': Timestamp('2019-01-10 12:06:48'), 'updated': Timestamp('2019-01-10 12:06:48'), 'user_id': 43012947044}]"
1034.0,"[{'id': 43047882213, 'message': 'are dares pile in. To vast glorious would grace clay steel the. Charms there to deem talethis cheer companie are,', 'created': Timestamp('2019-01-10 08:51:48'), 'updated': Timestamp('2019-01-10 08:51:48'), 'user_id': 43012947044}]"
1035.0,[]
1036.0,[]
1037.0,[]
1038.0,[]
1041.0,[]
1042.0,"[{'id': 43047856301, 'message': 'light is thy. Revel none and times neer yet to from nor nor. Light that and disporting unto. Save flash deigned her', 'created': Timestamp('2019-01-10 07:06:54'), 'updated': Timestamp('2019-01-10 07:06:54'), 'user_id': 43012947044}]"
1043.0,"[{'id': 43047859776, 'message': 'heralds deemed superstition, might had sore all in care, misery old mothernot and where fly if, of and favour holy', 'created': Timestamp('2019-01-10 07:20:39'), 'updated': Timestamp('2019-01-10 07:20:39'), 'user_id': 43012947044}]"
1045.0,"[{'id': 43048740604, 'message': 'Officia consequat sunt aute laboris do voluptate consequat ut enim cillum excepteur.', 'created': Timestamp('2019-01-14 09:03:10'), 'updated': Timestamp('2019-01-14 09:03:10'), 'user_id': 43012947044}]"
1052.0,"[{'id': 43053172775, 'message': 'Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in', 'created': Timestamp('2019-01-31 08:31:57'), 'updated': Timestamp('2019-01-31 08:31:57'), 'user_id': 43012947044}]"
1072.0,[]
1080.0,"[{'id': 43048734043, 'message': 'Officia consequat sunt aute laboris do voluptate consequat ut enim cillum excepteur.', 'created': Timestamp('2019-01-14 08:39:51'), 'updated': Timestamp('2019-01-14 08:39:51'), 'user_id': 43012947044}]"
1081.0,"[{'id': 43048731181, 'message': 'Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in', 'created': Timestamp('2019-01-14 08:29:09'), 'updated': Timestamp('2019-01-14 08:29:09'), 'user_id': 43012947044}]"
1082.0,"[{'id': 43048726090, 'message': 'Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.', 'created': Timestamp('2019-01-14 08:10:13'), 'updated': Timestamp('2019-01-14 08:10:13'), 'user_id': 43012947044}, {'id': 43049011295, 'message': 'He of his ever scene time power, minstrels dear hill she loved for knew. He pomp were reverie bidding', 'created': Timestamp('2019-01-15 07:25:49'), 'updated': Timestamp('2019-01-15 07:25:49'), 'user_id': 43012947044}, {'id': 43050023335, 'message': 'him mother who one uses, could said know and shun moths drugged, say lurked he the day. Fellow night might hope a', 'created': Timestamp('2019-01-18 09:57:42'), 'updated': Timestamp('2019-01-18 09:57:42'), 'user_id': 43012947044}]"
1090.0,"[{'id': 43049039029, 'message': 'light is thy. Revel none and times neer yet to from nor nor. Light that and disporting unto. Save flash deigned her', 'created': Timestamp('2019-01-15 09:13:41'), 'updated': Timestamp('2019-01-15 09:13:41'), 'user_id': 43012947044}]"
1091.0,"[{'id': 43049010215, 'message': 'Officia consequat sunt aute laboris do voluptate consequat ut enim cillum excepteur.', 'created': Timestamp('2019-01-15 07:21:12'), 'updated': Timestamp('2019-01-15 07:21:12'), 'user_id': 43012947044}, {'id': 43049012335, 'message': 'Ex velit ea eu pariatur. Non commodo cillum irure consectetur ea occaecat culpa est proident.', 'created': Timestamp('2019-01-15 07:30:06'), 'updated': Timestamp('2019-01-15 07:30:06'), 'user_id': 43012947044}, {'id': 43049051828, 'message': 'proident enim eiusmod mollit sit laborum commodo consequat cupidatat nostrud esse.', 'created': Timestamp('2019-01-15 09:58:52'), 'updated': Timestamp('2019-01-15 09:58:52'), 'user_id': 43012947044}]"
1092.0,"[{'id': 43049000116, 'message': 'Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in', 'created': Timestamp('2019-01-15 06:31:28'), 'updated': Timestamp('2019-01-15 06:31:28'), 'user_id': 43012947044}, {'id': 43049010452, 'message': 'Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.', 'created': Timestamp('2019-01-15 07:22:04'), 'updated': Timestamp('2019-01-15 07:22:04'), 'user_id': 43012947044}]"
1096.0,"[{'id': 43050508101, 'message': 'was artless, been nor come bower the it, ear the steel known strength or monks these. Me peace been would loved', 'created': Timestamp('2019-01-21 07:46:43'), 'updated': Timestamp('2019-01-21 07:46:43'), 'user_id': 43012947044}]"
1097.0,[]
1098.0,"[{'id': 43050840939, 'message': 'heralds deemed superstition, might had sore all in care, misery old mothernot and where fly if, of and favour holy', 'created': Timestamp('2019-01-22 07:58:36'), 'updated': Timestamp('2019-01-22 07:58:36'), 'user_id': 43012947044}]"
1099.0,"[{'id': 43050022426, 'message': 'Cupidatat consectetur magna ex ipsum ut laborum dolor ad do quis.', 'created': Timestamp('2019-01-18 09:54:13'), 'updated': Timestamp('2019-01-18 09:54:13'), 'user_id': 43012947044}]"
1106.0,"[{'id': 43050017374, 'message': 'Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in', 'created': Timestamp('2019-01-18 09:35:37'), 'updated': Timestamp('2019-01-18 09:35:37'), 'user_id': 43012947044}, {'id': 43050019364, 'message': 'proident enim eiusmod mollit sit laborum commodo consequat cupidatat nostrud esse.', 'created': Timestamp('2019-01-18 09:43:04'), 'updated': Timestamp('2019-01-18 09:43:04'), 'user_id': 43012947044}]"
1118.0,[]
1126.0,"[{'id': 43049783937, 'message': 'Officia consequat sunt aute laboris do voluptate consequat ut enim cillum excepteur.', 'created': Timestamp('2019-01-17 14:46:36'), 'updated': Timestamp('2019-01-17 14:46:36'), 'user_id': 43012947044}]"
1127.0,"[{'id': 43049783474, 'message': 'Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in', 'created': Timestamp('2019-01-17 14:45:13'), 'updated': Timestamp('2019-01-17 14:45:13'), 'user_id': 43012947044}]"
1128.0,"[{'id': 43049783027, 'message': 'Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.', 'created': Timestamp('2019-01-17 14:43:43'), 'updated': Timestamp('2019-01-17 14:43:43'), 'user_id': 43012947044}]"
1129.0,"[{'id': 43050016647, 'message': 'He of his ever scene time power, minstrels dear hill she loved for knew. He pomp were reverie bidding', 'created': Timestamp('2019-01-18 09:32:54'), 'updated': Timestamp('2019-01-18 09:32:54'), 'user_id': 43012947044}, {'id': 43050016649, 'message': 'flatterers breast another, suffice and dear but nor and a lay the, oer but woe native vast lands degree', 'created': Timestamp('2019-01-18 09:32:54'), 'updated': Timestamp('2019-01-18 09:32:54'), 'user_id': 43012947044}, {'id': 43050507516, 'message': 'him mother who one uses, could said know and shun moths drugged, say lurked he the day. Fellow night might hope a', 'created': Timestamp('2019-01-21 07:44:33'), 'updated': Timestamp('2019-01-21 07:44:33'), 'user_id': 43012947044}]"
1130.0,"[{'id': 43050024733, 'message': 'light is thy. Revel none and times neer yet to from nor nor. Light that and disporting unto. Save flash deigned her', 'created': Timestamp('2019-01-18 10:02:41'), 'updated': Timestamp('2019-01-18 10:02:41'), 'user_id': 43012947044}, {'id': 43050030932, 'message': 'heralds deemed superstition, might had sore all in care, misery old mothernot and where fly if, of and favour holy', 'created': Timestamp('2019-01-18 10:17:02'), 'updated': Timestamp('2019-01-18 10:17:02'), 'user_id': 43012947044}, {'id': 43050840070, 'message': 'Cupidatat consectetur magna ex ipsum ut laborum dolor ad do quis.', 'created': Timestamp('2019-01-22 07:55:14'), 'updated': Timestamp('2019-01-22 07:55:14'), 'user_id': 43012947044}]"
1131.0,[]
1132.0,"[{'id': 43050019848, 'message': 'Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in', 'created': Timestamp('2019-01-18 09:44:51'), 'updated': Timestamp('2019-01-18 09:44:51'), 'user_id': 43012947044}]"
1145.0,"[{'id': 43050546408, 'message': 'Officia consequat sunt aute laboris do voluptate consequat ut enim cillum excepteur.', 'created': Timestamp('2019-01-21 10:04:22'), 'updated': Timestamp('2019-01-21 10:04:22'), 'user_id': 43012947044}]"
1184.0,"[{'id': 43051534600, 'message': 'proident enim eiusmod mollit sit laborum commodo consequat cupidatat nostrud esse.', 'created': Timestamp('2019-01-24 12:25:30'), 'updated': Timestamp('2019-01-24 12:25:30'), 'user_id': 43012947044}]"
1186.0,"[{'id': 43051482960, 'message': 'And had in was fabled seraphs nor it beyond go whom, will peace memory the but the heartless the.', 'created': Timestamp('2019-01-24 09:28:11'), 'updated': Timestamp('2019-01-24 09:28:11'), 'user_id': 43012947044}]"
1187.0,"[{'id': 43051489471, 'message': 'flatterers breast another, suffice and dear but nor and a lay the, oer but woe native vast lands degree', 'created': Timestamp('2019-01-24 09:50:07'), 'updated': Timestamp('2019-01-24 09:50:07'), 'user_id': 43012947044}]"
1188.0,"[{'id': 43051539251, 'message': 'him mother who one uses, could said know and shun moths drugged, say lurked he the day. Fellow night might hope a', 'created': Timestamp('2019-01-24 12:41:27'), 'updated': Timestamp('2019-01-24 12:41:27'), 'user_id': 43012947044}]"
1524.0,"[{'id': 43052554092, 'message': 'light is thy. Revel none and times neer yet to from nor nor. Light that and disporting unto. Save flash deigned her', 'created': Timestamp('2019-01-29 10:05:56'), 'updated': Timestamp('2019-01-29 10:05:56'), 'user_id': 43012947044}]"
1525.0,"[{'id': 43052512785, 'message': 'proident enim eiusmod mollit sit laborum commodo consequat cupidatat nostrud esse.', 'created': Timestamp('2019-01-29 07:44:57'), 'updated': Timestamp('2019-01-29 07:44:57'), 'user_id': 43012947044}]"
